iso2,year,gdp,population
LK,1965,1698319328,11110825
LS,1965,54878902.42,860220
LT,1965,,2971450
LU,1965,921600736.3,331500
LV,1965,,2265919
MA,1965,2948325264,13381880
MC,1965,,23022
MD,1965,,2301425
MG,1965,833563472.2,5780453
MV,1965,,104566
MX,1965,21840000000,42737991
MH,1965,,18154
MK,1965,,1547982
ML,1965,,5726382
MT,1965,,318800
MM,1965,402619413.7,24286878
ME,1965,,526327
MN,1965,,1134072
MZ,1965,,7524154
MR,1965,255340526.7,965621
MU,1965,,753000
MW,1965,229455410.9,4089097
MY,1965,2956356984,9091016
NA,1965,,657887
NE,1965,673383604.2,4053524
NG,1965,5874422512,49925799
NI,1965,566542872.4,2084097
NL,1965,21000586933,12294732
NO,1965,8058681060,3723168
NP,1965,735267082.3,11232951
NR,1965,,5804
NZ,1965,5654463586,2628400
OM,1965,63287594.51,593808
