iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_balance_sheets,number_income_statements,bs_share,is_share
NL,2011,Limited liability enterprise,797187,254847,657191,37593,0.824387503,0.047157066
NL,2011,"Partnership, co-operatives, associations, etc.",277944,159625,3650,943,0.013132142,0.00339277
NL,2011,Sole proprietorship,1015989,598783,3,1,2.95E-06,9.84E-07
NL,2012,Limited liability enterprise,827065,257479,671838,37266,0.81231584,0.045058127
NL,2012,"Partnership, co-operatives, associations, etc.",275215,162178,4014,981,0.014584961,0.003564486
NL,2012,Sole proprietorship,1030339,621094,1,0,9.71E-07,0
NL,2013,Limited liability enterprise,864692,262525,687502,35767,0.795083105,0.041363861
NL,2013,"Partnership, co-operatives, associations, etc.",274666,160670,4318,1044,0.015720912,0.00380098
NL,2013,Sole proprietorship,1076414,628234,2,0,1.86E-06,0
NL,2014,Limited liability enterprise,890913,267546,701124,34760,0.786972465,0.039016155
NL,2014,"Partnership, co-operatives, associations, etc.",273477,157300,4558,1040,0.016666849,0.003802879
NL,2014,Sole proprietorship,1106738,650688,1,0,9.04E-07,0
NL,2015,Limited liability enterprise,913113,269373,712590,30394,0.780396293,0.033286132
NL,2015,"Partnership, co-operatives, associations, etc.",273513,158889,5051,1007,0.01846713,0.003681726
NL,2015,Sole proprietorship,1156618,684429,2,0,1.73E-06,0
NL,2016,Limited liability enterprise,936685,275222,729464,18206,0.778771946,0.01943663
NL,2016,"Partnership, co-operatives, associations, etc.",274287,160546,5408,437,0.019716574,0.001593222
NL,2016,Sole proprietorship,1205984,719488,2,0,1.66E-06,0
NL,2017,Limited liability enterprise,965366,279378,723567,16605,0.749526086,0.01720073
NL,2017,"Partnership, co-operatives, associations, etc.",267765,159008,4984,311,0.018613336,0.001161466
NL,2017,Sole proprietorship,1245334,742340,1,0,8.03E-07,0
NL,2018,Limited liability enterprise,994481,287706,729563,16539,0.733611804,0.016630785
NL,2018,"Partnership, co-operatives, associations, etc.",266893,165397,4919,293,0.018430607,0.001097818
NL,2018,Sole proprietorship,1315619,791307,1,0,7.60E-07,0
NL,2019,Limited liability enterprise,1021841,295787,748704,16690,0.732701076,0.016333265
NL,2019,"Partnership, co-operatives, associations, etc.",266965,169213,4860,279,0.018204634,0.001045081
NL,2019,Sole proprietorship,1401337,850750,1,0,7.14E-07,0
NL,2020,Limited liability enterprise,1053181,303548,709004,16195,0.673202422,0.015377224
NL,2020,"Partnership, co-operatives, associations, etc.",267303,172299,4506,271,0.016857274,0.001013831
NL,2020,Sole proprietorship,1485194,907977,6,5,4.04E-06,3.37E-06
NL,2021,Limited liability enterprise,1093570,NA,146537,3541,0.133998738,0.003238019
NL,2021,"Partnership, co-operatives, associations, etc.",265829,NA,1030,76,0.003874671,0.000285898
NL,2021,Sole proprietorship,1550317,NA,0,0,0,0
NL,2022,Limited liability enterprise,1083281,NA,188,28,0.000173547,2.58E-05
NL,2022,"Partnership, co-operatives, associations, etc.",250809,NA,1,1,3.99E-06,3.99E-06
NL,2022,Sole proprietorship,1550528,NA,0,0,0,0
NO,2010,Limited liability enterprise,200821,138614,202130,202130,1.006518243,1.006518243
NO,2010,"Partnership, co-operatives, associations, etc.",22286,21130,3602,3602,0.161626133,0.161626133
NO,2010,Sole proprietorship,480030,109205,3106,3106,0.006470429,0.006470429
NO,2011,Limited liability enterprise,208178,144563,208017,208017,0.999226623,0.999226623
NO,2011,"Partnership, co-operatives, associations, etc.",22307,21097,3557,3557,0.159456673,0.159456673
NO,2011,Sole proprietorship,508136,109116,3021,3021,0.005945259,0.005945259
NO,2012,Limited liability enterprise,224930,151680,222784,222784,0.990459254,0.990459254
NO,2012,"Partnership, co-operatives, associations, etc.",22187,19528,3589,3589,0.161761392,0.161761392
NO,2012,Sole proprietorship,536299,107829,2923,2923,0.005450318,0.005450318
NO,2013,Limited liability enterprise,242308,164993,236313,236313,0.975258762,0.975258762
NO,2013,"Partnership, co-operatives, associations, etc.",21693,17744,3597,3597,0.165813857,0.165813857
NO,2013,Sole proprietorship,554750,105655,2774,2774,0.005000451,0.005000451
NO,2014,Limited liability enterprise,257874,169095,249499,249499,0.967522899,0.967522899
NO,2014,"Partnership, co-operatives, associations, etc.",20378,15721,3551,3551,0.174256551,0.174256551
NO,2014,Sole proprietorship,569624,103842,2672,2672,0.004690814,0.004690814
NO,2015,Limited liability enterprise,274164,175253,262560,262560,0.957674968,0.957674968
NO,2015,"Partnership, co-operatives, associations, etc.",20206,14116,3477,3477,0.172077601,0.172077601
NO,2015,Sole proprietorship,586251,105835,2533,2533,0.004320675,0.004320675
NO,2016,Limited liability enterprise,290312,182576,276551,276551,0.952599273,0.952599273
NO,2016,"Partnership, co-operatives, associations, etc.",20119,13873,3238,3238,0.160942393,0.160942393
NO,2016,Sole proprietorship,594478,100468,2517,2517,0.004233967,0.004233967
NO,2017,Limited liability enterprise,310228,187324,289856,289856,0.934332169,0.934332169
NO,2017,"Partnership, co-operatives, associations, etc.",20103,12143,3019,3019,0.150176591,0.150176591
NO,2017,Sole proprietorship,607015,98640,2336,2336,0.00384834,0.00384834
NO,2018,Limited liability enterprise,326381,190079,303025,303025,0.928439462,0.928439462
NO,2018,"Partnership, co-operatives, associations, etc.",19712,10650,2872,2872,0.145698052,0.145698052
NO,2018,Sole proprietorship,617324,96869,2286,2286,0.00370308,0.00370308
NO,2019,Limited liability enterprise,342434,189964,315163,315163,0.920361296,0.920361296
NO,2019,"Partnership, co-operatives, associations, etc.",19337,10127,2762,2762,0.14283498,0.14283498
NO,2019,Sole proprietorship,588900,95091,2183,2183,0.003706911,0.003706911
NO,2020,Limited liability enterprise,360336,195363,329101,329101,0.913317015,0.913317015
NO,2020,"Partnership, co-operatives, associations, etc.",19051,9376,2665,2665,0.13988767,0.13988767
NO,2020,Sole proprietorship,476011,93968,2043,2043,0.004291918,0.004291918
NO,2021,Limited liability enterprise,380814,NA,129311,129311,0.339564722,0.339564722
NO,2021,"Partnership, co-operatives, associations, etc.",18568,NA,1083,1083,0.058326153,0.058326153
NO,2021,Sole proprietorship,469276,NA,1289,1289,0.002746784,0.002746784
NO,2022,Limited liability enterprise,380554,NA,34,34,8.93E-05,8.93E-05
NO,2022,"Partnership, co-operatives, associations, etc.",18007,NA,1,1,5.55E-05,5.55E-05
NO,2022,Sole proprietorship,455001,NA,0,0,0,0
PL,2010,Limited liability enterprise,184804,123207,74520,72638,0.403238025,0.393054263
