regulation_ID	iso2	year	legal_form
GR_3	GR	2012	Sole proprietorship
GR_3	GR	2013	Sole proprietorship
GR_3	GR	2014	Sole proprietorship
GR_3	GR	2015	Sole proprietorship
GR_3	GR	2016	Sole proprietorship
GR_3	GR	2017	Sole proprietorship
GR_3	GR	2018	Sole proprietorship
GR_3	GR	2019	Sole proprietorship
GR_3	GR	2020	Sole proprietorship
GR_3	GR	2021	Sole proprietorship
GR_3	GR	2022	Sole proprietorship
GR_4	GR	2010	Limited liability enterprise
GR_4	GR	2011	Limited liability enterprise
GR_4	GR	2012	Limited liability enterprise
GR_4	GR	2013	Limited liability enterprise
GR_4	GR	2014	Limited liability enterprise
GR_4	GR	2015	Limited liability enterprise
GR_4	GR	2016	Limited liability enterprise
GR_4	GR	2017	Limited liability enterprise
GR_4	GR	2018	Limited liability enterprise
GR_4	GR	2019	Limited liability enterprise
GR_4	GR	2020	Limited liability enterprise
GR_4	GR	2021	Limited liability enterprise
GR_4	GR	2022	Limited liability enterprise
GR_5	GR	2010	"Partnership, co-operatives, associations, etc."
GR_5	GR	2011	"Partnership, co-operatives, associations, etc."
GR_5	GR	2012	"Partnership, co-operatives, associations, etc."
GR_5	GR	2013	"Partnership, co-operatives, associations, etc."
GR_5	GR	2014	"Partnership, co-operatives, associations, etc."
GR_5	GR	2015	"Partnership, co-operatives, associations, etc."
GR_5	GR	2016	"Partnership, co-operatives, associations, etc."
GR_5	GR	2017	"Partnership, co-operatives, associations, etc."
GR_5	GR	2018	"Partnership, co-operatives, associations, etc."
GR_5	GR	2019	"Partnership, co-operatives, associations, etc."
GR_5	GR	2020	"Partnership, co-operatives, associations, etc."
GR_5	GR	2021	"Partnership, co-operatives, associations, etc."
GR_5	GR	2022	"Partnership, co-operatives, associations, etc."
GR_6	GR	2010	Sole proprietorship
GR_6	GR	2011	Sole proprietorship
GR_6	GR	2012	Sole proprietorship
GR_6	GR	2013	Sole proprietorship
GR_6	GR	2014	Sole proprietorship
GR_6	GR	2015	Sole proprietorship
GR_6	GR	2016	Sole proprietorship
GR_6	GR	2017	Sole proprietorship
GR_6	GR	2018	Sole proprietorship
GR_6	GR	2019	Sole proprietorship
GR_6	GR	2020	Sole proprietorship
GR_6	GR	2021	Sole proprietorship
GR_6	GR	2022	Sole proprietorship
IT_1	IT	2010	Limited liability enterprise
